ID_GPS,ISO,Country,Partyname,Partyabb,CPARTY,CPARTYABB,Region,Experts,Min_Experts,TYPES,Type_Values,Type_Populism,Type_Populist_Values,Type_Partysize_vote,Type_Partysize_seat,CORE_GPS_ITEMS,V1,V2,V3,V4_Scale,V4_Bin,V4_Ord,V5,V6_Scale,V6_Bin,V6_Ord,V7,V8_Scale,V8_Bin,V8_Ord,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,METAEXPERT,YoB,Gender,Born,Citizen,Partysupport,Ideology,Difficulty,LocationLatitude,LocationLongitude,Language,METAPARTY,Elec_code,Elec_year,PartyPerVote,PartyPerSeats,ENEP,ENPP,LSQINDEX,CHES_lrecon,CHES_lrecon_salience,CHES_galtan,CHES_galtan_salience,CHES_immigrate_policy,CHES_ethnic_minorities,CHES_people_vs_elite,CHES_experts,CHES_vote,CHES_seat,CHES_electionyear,CHES_family,CHES_govt,PG_family,PG_left_right,PG_state_market,PG_liberty_authority,PG_eu_anti_pro,Popu_List,WVS_LR_PartyVoter,WVS_LibCon_PartyVoter,WVS_Polmistrust_PartyVoter,WVS_LR_MedianVoter,WVS_LibCon_MedianVoter,LRdistancemedianvoter,LCdistancemedianvoter,LRdistanceownvoters,LCdistanceownvoters,PARTYIDCODES,ID_ParlGov,ID_PartyFacts,ID_CHES,ID_ESS,ID_CMP,ID_castles_mair,ID_huber_inglehart,ID_ray,ID_benoit_laver,ID_EES,ID_WVS,METACOUNTRY,CountryName,ID_Cow,ID_VDem,Region_9,Region_10,Region_19,OECD,polity,polity2,FH_Regime,FH_PoliticalRights,FH_CivilLiberties,Area,Pop1990,Pop2000,Pop2018,GDP,Longevity,Corruption,Electoral_Integrity,VDem_regime,v2x_polyarchy,v2x_libdem,v2xel_frefair,v2elfrfair,v2elfrfair_osp,v2elfrfair_ord,v2elloelsy,v2elparlel,v2elncbpr,Turnout,v2eltrnout,v2elvaptrn,v2psbars,v2psbars_osp,v2psbars_ord,v2psorgs,v2psorgs_osp,v2psorgs_ord,v2psprbrch,v2psprbrch_osp,v2psprbrch_ord,v2psprlnks,v2psprlnks_osp,v2psprlnks_ord,v2psplats,v2psplats_osp,v2psplats_ord,v2xnp_client,v2xps_party
19,ARG,Argentina,Civic Front for Santiago,FCpS,ARG_ Civic Front for Santiago,ARG_ FCpS,2,18,1, ,4,4,4,1,1, ,3.769230769,8.5,9.2,10,1,4,7.75,8.4,1,4,8.75,8.5,1,4,10,7,9.333333333,10,7,5.5, ,9,9.333333333,4.333333333,7,2,8.666666667, ,1969.727273,0.818181818,0.818181818,0.818181818,1,4.909090909,7.454545455,-11.93507167,-59.69185529,EN, ,ARG_22102017_L1,2017,1.6,2.3,4.114853799,3.559136838,14.78428219, , , , , , , , , , , , , , , , , , ,0, , , ,5.65,6.5125,4.35,1.8875, , , , , , , , , , , , , ,-9, ,Argentina,160,37,9,2,18,0,9,9,2,2,2,2787442.098,32618651,36870787,44494502,18288.2446,77,40,64.69164276,2,0.819,0.676,0.891, , , , , , ,76.82, , ,2.407,3.928,4,1.581,3.157,3,1.502,2.842,3,0.428,2.397,3,0.938,2.951,3,0.459,0.729
20,ARG,Argentina,Evolución,Evolucion,ARG_ Evolución,ARG_ Evolución,2,18,1, ,3,1,1,1,1, ,5.857142857,8.9,7.5,6.4,1,3,7.181818182,3.153846154,0,2,7.125,2.3,0,1,3.909090909,3.444444444,7.75,3.5,8.125,2.727272727,3.625,2.090909091,2.857142857,7.333333333,6.666666667,7,1.75, ,1969.727273,0.818181818,0.818181818,0.818181818,1,4.909090909,7.454545455,-11.93507167,-59.69185529,EN, ,ARG_22102017_L1,2017,1,0.8,4.114853799,3.559136838,14.78428219, , , , , , , , , , , , , , , , , , ,0, , , ,5.65,6.5125,0.75,-3.358653846, , , , , , , , , , , , , ,-9, ,Argentina,160,37,9,2,18,0,9,9,2,2,2,2787442.098,32618651,36870787,44494502,18288.2446,77,40,64.69164276,2,0.819,0.676,0.891, , , , , , ,76.82, , ,2.407,3.928,4,1.581,3.157,3,1.502,2.842,3,0.428,2.397,3,0.938,2.951,3,0.459,0.729
21,ARG,Argentina,Front for the Renewal of Concord,FR,ARG_ Front for the Renewal of Concord,ARG_ FR,2,18,1, ,4,4,4,1,1, ,3.125,7.833333333,8.333333333,10,1,4,7.5,8.5,1,4,8,9,1,4,8.333333333, ,10,10,10,2, ,6.5,10,6.5, ,4, , ,1969.727273,0.818181818,0.818181818,0.818181818,1,4.909090909,7.454545455,-11.93507167,-59.69185529,EN, ,ARG_22102017_L1,2017,1.1,1.6,4.114853799,3.559136838,14.78428219, , , , , , , , , , , , , , , , , , ,0, , , ,5.65,6.5125,4.35,1.9875, , , , , , , , , , , , , ,-9, ,Argentina,160,37,9,2,18,0,9,9,2,2,2,2787442.098,32618651,36870787,44494502,18288.2446,77,40,64.69164276,2,0.819,0.676,0.891, , , , , , ,76.82, , ,2.407,3.928,4,1.581,3.157,3,1.502,2.842,3,0.428,2.397,3,0.938,2.951,3,0.459,0.729
23,ARG,Argentina,"Progressive, Civic and Social Front",FPCyS,"ARG_ Progressive, Civic and Social Front",ARG_ FPCyS,2,18,1, ,1,1,1,1,1, ,5.352941176,7,7.375,4.1,0,2,7,2.363636364,0,1,7.9,2.444444444,0,1,3.857142857,2.25,6.230769231,3,8,1.555555556,3,1.333333333,2,5.75,3,4,2.285714286, ,1969.727273,0.818181818,0.818181818,0.818181818,1,4.909090909,7.454545455,-11.93507167,-59.69185529,EN, ,ARG_22102017_L1,2017,1.2,0.4,4.114853799,3.559136838,14.78428219, , , , , , , , , , , , , , , , , , ,0, , , ,5.65,6.5125,-1.55,-4.148863636, , , , ,6554, , , , , , , , ,-9, ,Argentina,160,37,9,2,18,0,9,9,2,2,2,2787442.098,32618651,36870787,44494502,18288.2446,77,40,64.69164276,2,0.819,0.676,0.891, , , , , , ,76.82, , ,2.407,3.928,4,1.581,3.157,3,1.502,2.842,3,0.428,2.397,3,0.938,2.951,3,0.459,0.729
24,ARG,Argentina,Union for Córdoba ,UpC,ARG_ Union for Córdoba ,ARG_ UpC,2,18,1, ,4,3,4,1,1, ,5.4,9,6.375,8.666666667,1,4,8.2,7.777777778,1,4,7.428571429,5.166666667,1,3,5.666666667,7,9.2,7.333333333,6,4.5, ,4.75,5.333333333,5.4,6,3,5, ,1969.727273,0.818181818,0.818181818,0.818181818,1,4.909090909,7.454545455,-11.93507167,-59.69185529,EN, ,ARG_22102017_L1,2017,2.6,1.9,4.114853799,3.559136838,14.78428219, , , , , , , , , , , , , , , , , , ,0, , , ,5.65,6.5125,3.016666667,1.265277778, , , , , , , , , , , , , ,-9, ,Argentina,160,37,9,2,18,0,9,9,2,2,2,2787442.098,32618651,36870787,44494502,18288.2446,77,40,64.69164276,2,0.819,0.676,0.891, , , , , , ,76.82, , ,2.407,3.928,4,1.581,3.157,3,1.502,2.842,3,0.428,2.397,3,0.938,2.951,3,0.459,0.729
25,ARG,Argentina,United for a New Alternative,1País,ARG_ United for a New Alternative,ARG_ 1País,2,18,1, ,4,3,4,2,2, ,5.461538462,7.25,6.5,7.75,1,4,8.375,5.714285714,1,3,5.5,6.125,1,3,5.2,6,7.142857143,5,3.2,3.75,3.333333333,5.6,6.4,7.25,7,5,5.6, ,1969.727273,0.818181818,0.818181818,0.818181818,1,4.909090909,7.454545455,-11.93507167,-59.69185529,EN, ,ARG_22102017_L1,2017,5.9,7.4,4.114853799,3.559136838,14.78428219, , , , , , , , , , , , , , , , , , ,0, , , ,5.65,6.5125,2.1,-0.798214286, , , , , , , , , , , , , ,-9, ,Argentina,160,37,9,2,18,0,9,9,2,2,2,2787442.098,32618651,36870787,44494502,18288.2446,77,40,64.69164276,2,0.819,0.676,0.891, , , , , , ,76.82, , ,2.407,3.928,4,1.581,3.157,3,1.502,2.842,3,0.428,2.397,3,0.938,2.951,3,0.459,0.729
26,ARG,Argentina,Workers' Left Front,FIT,ARG_ Workers' Left Front,ARG_ FIT,2,18,1, ,1,3,3,2,1, ,7.823529412,7.6,3.571428571,0.9375,0,1,8.066666667,1.75,0,1,7.375,6.7,1,3,6.222222222,2.4,2.071428571,1.666666667,2,1.416666667,1.3,5.25,1.714285714,3.857142857,1.333333333,6.666666667,3.8, ,1969.727273,0.818181818,0.818181818,0.818181818,1,4.909090909,7.454545455,-11.93507167,-59.69185529,EN, ,ARG_22102017_L1,2017,4.3,1.2,4.114853799,3.559136838,14.78428219, , , , , , , , , , , , , , , , , , ,0, , , ,5.65,6.5125,-4.7125,-4.7625, , , , ,6649, , , , , , , , ,-9, ,Argentina,160,37,9,2,18,0,9,9,2,2,2,2787442.098,32618651,36870787,44494502,18288.2446,77,40,64.69164276,2,0.819,0.676,0.891, , , , , , ,76.82, , ,2.407,3.928,4,1.581,3.157,3,1.502,2.842,3,0.428,2.397,3,0.938,2.951,3,0.459,0.729
27,ARM,Armenia,Bright Armenia,BA,ARM_ Bright Armenia,ARM_ BA,1,10,1, ,3,2,1,1, , ,7.777777778,8.555555556,4.875,7,1,3,7.571428571,4.111111111,0,2,7.333333333,3.666666667,0,2,5.333333333,4.333333333,5.875,3.833333333,8.25,2.555555556,2.875,1.454545455,2.5,3.666666667,3.333333333,5,1.444444444, ,1972.272727,0.727272727,0.545454545,0.818181818, ,4.909090909,7.909090909,42.62786696,30.08539073,EN, ,ARM_02122018_L1,2018,0.047, , , , , , , , , , , , , , , , , , , , , , ,0, , , ,5.18,8.0743,1.82,-3.963188889, , , , ,7507, , , , , , , , ,-9, ,Armenia,371,105,5,1,10,0,5,5,1,5,4,29702.499,3538171,3069591,2951776,9177.744159,76,35,54.69906616,1,0.493,0.326,0.382,-0.647,1.946,4,8,1, , ,48.63,53.38,2.051,3.86,4,0.892,2.556,3,-0.072,1.449,1,0.645,2.61,3,0.899,2.912,3,0.624,0.585
28,ARM,Armenia,My Step Alliance,IKD,ARM_ My Step Alliance,ARM_ IKD,1,10,1, ,3,4,3,1, , ,8.181818182,6.5,5.25,5.166666667,1,3,7.2,3,0,2,6.6,8.555555556,1,4,8.7,1.875,6,2.666666667,8.857142857,2.4,2.555555556,1.909090909,2,1.6,2.090909091,5.875,5.222222222, ,1972.272727,0.727272727,0.545454545,0.818181818, ,4.909090909,7.909090909,42.62786696,30.08539073,EN, ,ARM_02122018_L1,2018,0.7042, , , , , , , , , , , , , , , , , , , , , , ,0, , , ,5.18,8.0743,-0.013333333,-5.0743, , , , ,7508, , , , , , , , ,-9, ,Armenia,371,105,5,1,10,0,5,5,1,5,4,29702.499,3538171,3069591,2951776,9177.744159,76,35,54.69906616,1,0.493,0.326,0.382,-0.647,1.946,4,8,1, , ,48.63,53.38,2.051,3.86,4,0.892,2.556,3,-0.072,1.449,1,0.645,2.61,3,0.899,2.912,3,0.624,0.585
33,AUS,Australia,Katters Australia Party,KAP,AUS_ Katters Australia Party,AUS_ KAP,5,15,1, ,4,4,4,1,1, ,7.666666667,8.833333333,4.571428571,5,1,3,8.222222222,8.384615385,1,4,9.4,7.818181818,1,4,7.818181818,8.363636364,7.857142857,7.714285714,3.714285714,6.2,8.714285714,2.166666667,7.2,5.428571429,4.857142857,4.777777778,2.166666667, ,1958.923077,0.846153846,0.538461538,0.923076923,3,4.230769231,7.076923077,-25.21118441,135.4398415,EN, ,AUS_02072016_L1,2016,0.5,0.7,4.372827251,3.067437616,11.15481959, , , , , , , , , , , , , ,Social democracy,3.3,3.5,3.5, ,0, , , ,5.42,5.0834,-0.42,3.301215385, , , ,2258,1997, , ,63710, , , , , ,-9, ,Australia,900,67,3,5,15,1,10,10,2,1,1,7718924.697,17065100,19153000,24992369,45377.75514,82.9,77,70.21055603,3,0.864,0.824,0.965, , , , , , ,85.5, , ,2.043,3.856,4,1.737,3.278,3,1.676,2.98,3,2.525,3.806,4,2.354,3.847,4,0.059,0.927
34,AUS,Australia,Liberal National Party,LNP,AUS_ Liberal National Party,AUS_ LNP,5,15,1, ,4,3,4,2,3, ,8.777777778,7.111111111,5.375,7.636363636,1,4,8.846153846,7.818181818,1,4,8.416666667,5.1,1,3,6.111111111,7.3,8.428571429,7.625,5,3.5,6.333333333,2.8,6.166666667,5.25,5.625,1.5,3.75, ,1958.923077,0.846153846,0.538461538,0.923076923,3,4.230769231,7.076923077,-25.21118441,135.4398415,EN, ,AUS_02072016_L1,2016,8.6,14,4.372827251,3.067437616,11.15481959, , , , , , , , , , , , , , , , , , ,0, , , ,5.42,5.0834,2.216363636,2.734781818, , , , ,7757, , , , , , , , ,-9, ,Australia,900,67,3,5,15,1,10,10,2,1,1,7718924.697,17065100,19153000,24992369,45377.75514,82.9,77,70.21055603,3,0.864,0.824,0.965, , , , , , ,85.5, , ,2.043,3.856,4,1.737,3.278,3,1.676,2.98,3,2.525,3.806,4,2.354,3.847,4,0.059,0.927
37,AUS,Australia,Nick Xenophon,NXT,AUS_ Nick Xenophon,AUS_ NXT,5,15,1, ,1,2,1,1,1, ,8.2,8.833333333,2.25,3.2,0,2,9,2.428571429,0,1,7,3.571428571,0,2,3.571428571,2,5.6,1.6,7,1.75,2.111111111,1.2,2.142857143,3.25,2.8,3.75,1.25, ,1958.923077,0.846153846,0.538461538,0.923076923,3,4.230769231,7.076923077,-25.21118441,135.4398415,EN, ,AUS_02072016_L1,2016,1.9,0.7,4.372827251,3.067437616,11.15481959, , , , , , , , , , , , , ,Liberal,6,6.7,3.5, ,0, , , ,5.42,5.0834,-2.22,-2.654828571, , , ,2630,5453, , ,63901, , , , , ,-9, ,Australia,900,67,3,5,15,1,10,10,2,1,1,7718924.697,17065100,19153000,24992369,45377.75514,82.9,77,70.21055603,3,0.864,0.824,0.965, , , , , , ,85.5, , ,2.043,3.856,4,1.737,3.278,3,1.676,2.98,3,2.525,3.806,4,2.354,3.847,4,0.059,0.927
44,AZE,Azerbaijan,Independents,Ind.,AZE_ Independents,AZE_ Ind.,1,2,0, ,0,4,0,1, , ,5,5, , , , , , , , , ,10,1,4,10, ,0,1, ,0,0,10,10,10,10,0,0, ,1975,0,0,0, ,7,8,48.2006073,16.36720276,EN, ,AZE_01112015_L1,2015,0.405, , , , , , , , , , , , , , , , , , , , , , ,0, , , ,5.93,7.9949, , , , , , ,2593, , , , , , , , ,-9, ,Azerbaijan,373,106,5,1,10,0,-7,-7,0,7,6,86045.875,7159000,8048600,9942334,16010.98904,72.3,25,36.30345154,1,0.197,0.06,0.061,-2.779,0.324,0, , ,1,55.5,74.24,53.76,-0.59,1.947,2,-0.855,0.966,1,-0.89,0.857,1,1.177,3.069,3,-0.741,1.135,1,0.733,0.435
46,BDI,Burundi,Front for Democracy in Burundi,FRODEBU,BDI_ Front for Democracy in Burundi,BDI_ FRODEBU,4,3,0, ,4,3,4,3,3, ,10,4.333333333, ,7,1,3,8,6,1,3,2,5.5,1,3,6,1,9,1,8.5,2,2,0,1,0,0,8,1.5, ,1972,1,0.5,0.5, ,5.5,8,51.2191925,4.391693115,EN, ,BDI_29062015_L1,2015,13.9,21,1.724774313,1.568873549,5.313191132, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,5265, , , , , , , , ,-9, ,Burundi,516,69,1,4,8,0,-1,-1,0,7,6,27367.75,5438957,6378871,11175378,660.330341,61.1,17,24.48979568,1,0.179,0.05,0.019, , , , , , ,74.3, , ,0.028,2.556,3,-0.889,0.938,1,0.792,2.219,2,-1.887,0.441,0,-1.671,0.442,0,0.908,0.279
47,BDI,Burundi,National Council for the Defense of Democracy,CNDD-FDD,BDI_ National Council for the Defense of Democracy,BDI_ CNDD-FDD,4,3,0, ,0, ,0,3,3, ,8.5,5.5,8, , , , ,7,1,3, , , , ,8, ,10, ,0,4, ,10,10,1,0, ,10, ,1972,1,0.5,0.5, ,5.5,8,51.2191925,4.391693115,EN, ,BDI_29062015_L1,2015,74.8,77,1.724774313,1.568873549,5.313191132, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,5266, , , , , , , , ,-9, ,Burundi,516,69,1,4,8,0,-1,-1,0,7,6,27367.75,5438957,6378871,11175378,660.330341,61.1,17,24.48979568,1,0.179,0.05,0.019, , , , , , ,74.3, , ,0.028,2.556,3,-0.889,0.938,1,0.792,2.219,2,-1.887,0.441,0,-1.671,0.442,0,0.908,0.279
