country,countryname,oecdmember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103_1,per103_2,per104,per105,per106,per107,per108,per109,per110,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per203,per204,per301,per302,per303,per304,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416_1,per416_2,per501,per502,per503,per504,per505,per506,per507,per601_1,per601_2,per602_1,per602_2,per603,per604,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per701,per702,per703_1,per703_2,per704,per705,per706,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
155,"Chile",10,11/12/2005,200512,155602,"National Renewal","RN",60,"Sebastian Piñera Echenique",313,5,2015,.837,.647,14.12,0,25.41,19,120,1,901,"2022-1",1853,0,1.133,0,0,0,3.616,.324,.7020000000000001,2.86,1.295,.7020000000000001,0,1.133,1.673,6.53,0,0,0,0,.054,3.4,0,8.851000000000001,8.311,.054,0,0,0,0,.917,4.101,.054,3.076,.216,0,0,1.673,0,.054,1.187,1.511,0,0,0,0,0,2.806,5.505,5.181,2.644,5.774,3.778,6.26,0,.108,0,0,0,.324,0,7.501,0,.971,0,0,0,1.295,0,0,0,.971,0,0,0,0,1.241,2.213,-.8090000000000001,3.292,4.101,8.419,1.025,"2022a","C5BQR5"
155,"Chile",10,13/12/2009,200912,155021,"Concert of Parties for Democracy","",20,"Eduardo Frei Ruiz-Tagle",313,5,2015,.837,.647,42.3,1,29.6,54,120,8,901,"2022-1",997,0,0,0,0,0,.1,.1,.1,.602,.1,0,0,0,3.41,4.112,0,.1,.201,0,1.103,1.505,0,2.407,1.204,6.62,0,0,0,0,.802,0,.602,9.327999999999999,0,0,0,0,0,0,5.316,8.927,0,.1,1.003,0,0,.1,2.307,6.62,7.322,12.638,1.304,6.319,0,0,0,0,0,0,0,2.608,.502,1.605,0,0,0,3.611,0,0,0,3.31,0,2.808,0,0,.903,.301,-18.857,9.327999999999999,1.003,19.96,.201,"2022a","7JU35A"
155,"Chile",10,13/12/2009,200912,155023,"New Majority for Chile","",20,"Marco Enriquez-Ominami",313,5,2015,.837,.647,4.600000000000001,0,20.13,0,120,8,901,"2022-1",579,0,0,0,0,0,0,0,0,.6910000000000001,.864,0,0,0,2.591,7.254,0,0,0,0,.345,2.073,0,0,0,2.763,0,0,0,0,0,0,2.591,6.908,2.245,0,0,0,0,0,0,2.936,0,.173,0,0,0,7.772,2.763,3.454,16.062,12.263,.518,6.045,0,0,0,0,0,0,2.591,2.591,2.073,.6910000000000001,0,0,0,3.627,0,0,0,4.491,0,2.245,0,0,.864,.518,-28.325,9.154,0,28.325,0,"2022a","IQ5LVT"
155,"Chile",10,13/12/2009,200912,155025,"Together we can do more for Chile","PODEMOS",20,"Jorge Arrate Mac-Niven",313,5,2015,.837,.647,2,0,6.21,3,120,8,901,"2022-1",1104,0,.091,0,.543,2.264,0,3.08,0,.091,2.264,.453,0,0,1.812,2.808,0,.091,0,0,3.261,2.717,0,1.721,1.812,1.087,0,0,0,.725,0,0,2.174,9.239000000000001,0,0,0,0,0,0,1.359,5.435,4.076000000000001,6.069,.091,0,0,0,4.62,6.793,7.246,10.598,0,5.797,0,0,0,0,0,0,1.359,0,3.623,.272,0,0,0,2.355,0,0,0,2.989,0,.996,0,0,0,.091,-41.486,13.315,.091,17.844,3.08,"2022a","M8GI2G"
155,"Chile",10,13/12/2009,200912,155061,"Coalition for Change","",60,"Sebastian Piñera Echenique",313,5,2015,.837,.647,43.4,0,44.06,58,120,8,901,"2022-1",1981,0,0,0,0,0,1.969,.353,0,2.776,1.01,.05,0,0,.8080000000000001,3.231,0,.606,.101,0,.05,5.704,0,3.988,.858,6.966,.202,0,0,0,.303,.505,4.038,4.19,.101,0,0,.353,0,0,5.502,10.853,0,0,1.363,0,0,.303,3.18,5.351,3.281,7.017,1.615,7.017,0,.05,0,0,0,1.565,0,4.897,0,0,0,0,.05,2.272,0,0,0,2.272,0,1.716,0,.202,1.262,2.07,-3.029,4.291,1.868,10.298,.353,"2022a","3UU71K"
155,"Chile",10,17/11/2013,201311,155021,"New Majority for Chile/Socialist Party of Chile","",20,"Michelle Bachelet Jeria",313,5,2015,.837,.647,47.71,0,46.7,67,120,1,911,"2022-1",3373,0,0,0,0,0,.712,.5630000000000001,0,.059,1.779,0,0,.03,2.668,4.477,0,.03,.03,0,1.364,5.188,0,6.463,.089,2.372,0,.03,0,0,0,.119,1.749,6.345,0,0,0,0,0,0,4.032,10.91,.296,.119,.919,0,0,1.393,.059,7.086,9.102,8.627000000000001,0,6.937,0,0,0,0,.474,.03,.267,2.846,0,.652,0,.03,0,3.439,0,0,0,3.617,.326,2.194,0,0,0,2.579,-18.974,6.641,1.038,17.729,.5630000000000001,"2022a","ZE34J4"
155,"Chile",10,17/11/2013,201311,155024,"If you want it, Chile changes","",20,"Marco Enriquez-Ominami",313,5,2015,.837,.647,5.43,0,10.98,1,120,1,911,"2022-1",2937,0,1.566,0,0,0,2.281,.102,0,1.464,.8170000000000001,.17,0,.102,2.451,1.975,0,.102,.34,0,1.702,1.294,0,.8170000000000001,.613,.068,0,0,0,0,0,0,.136,14.334,.375,0,0,0,0,0,0,.987,3.882,.545,.136,0,0,2.656,3.439,8.512,9.431000000000001,9.057,0,8.274000000000001,0,0,0,0,.034,0,11.168,1.873,2.996,.17,0,0,0,1.09,0,0,0,3.779,0,.987,0,.272,0,0,-37.011,18.59,.136,18.488,.102,"2022a","OEBXRC"
155,"Chile",10,17/11/2013,201311,155061,"Alliance","",60,"Evelyn Matthei Fornet",313,5,2015,.837,.647,26.23,0,25.3,49,120,1,911,"2022-1",2192,0,0,0,0,0,.867,0,.182,.639,.319,0,0,0,.8210000000000001,3.467,0,0,0,0,.091,7.436,0,1.825,.411,.456,.137,0,0,0,0,0,2.646,9.307,0,0,0,.319,0,0,3.741,6.752,.274,0,0,0,0,0,1.049,5.064,2.92,14.279,1.688,15.648,0,0,0,0,0,.182,.365,12.181,0,0,0,0,0,1.779,0,0,0,3.513,0,1.642,0,0,0,0,-28.011,9.58,0,17.199,.182,"2022a","H3ZGBJ"
155,"Chile",10,19/11/2017,201711,155021,"New Majority for Chile","",20,"Alejandro René Eleodoro Guillier Álvarez",343,5,2019,.799,.614,24.056,0,22.6966128709691,43,155,8,940,"2022-1",3251,.154,.246,0,.031,0,.338,.431,.092,.861,.646,0,0,.062,2.215,8.367000000000001,.031,0,.646,0,.431,4.337,0,2.276,.523,.123,.062,0,.062,.092,.154,.215,.461,6.398000000000001,.338,.338,0,0,1.23,.185,1.907,16.364,0,0,0,0,0,3.537,4.552,4.522,4.583,12.704,.092,1.938,0,.031,0,.031,0,.031,.308,4.429,.123,.892,.338,1.846,.277,1.569,0,0,.031,2.738,0,1.6,0,.123,1.2,3.045,-24.946,6.736,.215,17.287,.523,"2022a","K2A7K3"
155,"Chile",10,19/11/2017,201711,155026,"Broad Front","FA",20,"Beatriz de Jesús Sánchez Muñoz",343,5,2019,.799,.614,16.488,0,20.2724278363948,20,155,8,940,"2022-1",4605,.065,.239,0,.087,0,.174,.261,.217,.63,.391,0,0,.109,2.41,9.729000000000001,.022,.022,1.042,.043,.89,2.606,0,.869,.261,.239,.239,0,0,.391,.174,0,.717,3.8,.456,.304,0,.043,.586,1.368,.543,7.34,.282,.239,0,.109,.043,3.344,5.429,3.04,7.144,19.783,.043,5.82,0,.043,0,.087,.195,0,.326,2.193,1.064,1.585,.586,1.889,.043,1.564,0,0,0,5.798,.022,.5650000000000001,0,0,1.564,.9340000000000001,-39.175,4.539,0,26.927,.478,"2022a","GKJ96Q"
